DATE,SEASON,HOME_TEAM,AWAY_TEAM,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,Winner
9/15/2021,2021-2022,Man City,Leipzig,6,3,Man City
9/15/2021,2021-2022,Club Brugge,Paris,1,1,Draw
9/28/2021,2021-2022,Paris,Man City,2,0,Paris
9/28/2021,2021-2022,Leipzig,Club Brugge,1,2,Club Brugge
10/19/2021,2021-2022,Club Brugge,Man City,1,5,Man City
10/19/2021,2021-2022,Paris,Leipzig,3,2,Paris
11/3/2021,2021-2022,Leipzig,Paris,2,2,Draw
11/3/2021,2021-2022,Man City,Club Brugge,4,1,Man City
11/24/2021,2021-2022,Man City,Paris,2,1,Man City
11/24/2021,2021-2022,Club Brugge,Leipzig,0,5,Leipzig
12/7/2021,2021-2022,Leipzig,Man City,2,1,Leipzig
12/7/2021,2021-2022,Paris,Club Brugge,4,1,Paris
9/15/2021,2021-2022,Atletico,Porto,0,0,Draw
9/15/2021,2021-2022,Liverpool,Milan,3,2,Liverpool
9/28/2021,2021-2022,Porto,Liverpool,1,5,Liverpool
9/28/2021,2021-2022,Milan,Atletico,1,2,Atletico
10/19/2021,2021-2022,Atletico,Liverpool,2,3,Liverpool
10/19/2021,2021-2022,Porto,Milan,1,0,Porto
11/3/2021,2021-2022,Milan,Porto,1,1,Draw
11/3/2021,2021-2022,Liverpool,Atletico,2,0,Liverpool
11/24/2021,2021-2022,Liverpool,Porto,2,0,Liverpool
11/24/2021,2021-2022,Atletico,Milan,0,1,Milan
12/7/2021,2021-2022,Porto,Atletico,1,3,Atletico
12/7/2021,2021-2022,Milan,Liverpool,1,2,Liverpool
9/15/2021,2021-2022,Besiktas,Dortmund,1,2,Dortmund
9/15/2021,2021-2022,Sporting CP,Ajax,1,5,Ajax
9/28/2021,2021-2022,Ajax,Besiktas,2,0,Ajax
9/28/2021,2021-2022,Dortmund,Sporting CP,1,0,Dortmund
10/19/2021,2021-2022,Besiktas,Sporting CP,1,4,Sporting CP
10/19/2021,2021-2022,Ajax,Dortmund,4,0,Ajax
11/3/2021,2021-2022,Dortmund,Ajax,1,3,Ajax
11/3/2021,2021-2022,Sporting CP,Besiktas,4,0,Sporting CP
11/24/2021,2021-2022,Besiktas,Ajax,1,2,Ajax
11/24/2021,2021-2022,Sporting CP,Dortmund,3,1,Sporting CP
12/7/2021,2021-2022,Ajax,Sporting CP,4,2,Ajax
12/7/2021,2021-2022,Dortmund,Besiktas,5,0,Dortmund
9/15/2021,2021-2022,FC Sheriff,Shakhtar Donetsk,2,0,FC Sheriff
9/15/2021,2021-2022,Inter,Real Madrid,0,1,Real Madrid
9/28/2021,2021-2022,Shakhtar Donetsk,Inter,0,0,Draw
9/28/2021,2021-2022,Real Madrid,FC Sheriff,1,2,FC Sheriff
10/19/2021,2021-2022,Shakhtar Donetsk,Real Madrid,0,5,Real Madrid
10/19/2021,2021-2022,Inter,FC Sheriff,3,1,Inter
11/3/2021,2021-2022,Real Madrid,Shakhtar Donetsk,2,1,Real Madrid
11/3/2021,2021-2022,FC Sheriff,Inter,1,3,Inter
11/24/2021,2021-2022,Inter,Shakhtar Donetsk,2,0,Inter
11/24/2021,2021-2022,FC Sheriff,Real Madrid,0,3,Real Madrid
12/7/2021,2021-2022,Real Madrid,Inter,2,0,Real Madrid
12/7/2021,2021-2022,Shakhtar Donetsk,FC Sheriff,1,1,Draw
9/14/2021,2021-2022,Barcelona,Bayern,0,3,Bayern
9/14/2021,2021-2022,Dinamo Kiev,Benfica,0,0,Draw
9/29/2021,2021-2022,Benfica,Barcelona,3,0,Benfica
9/29/2021,2021-2022,Bayern,Dinamo Kiev,5,0,Bayern
10/20/2021,2021-2022,Barcelona,Dinamo Kiev,1,0,Barcelona
10/20/2021,2021-2022,Benfica,Bayern,0,4,Bayern
11/2/2021,2021-2022,Bayern,Benfica,5,2,Bayern
11/2/2021,2021-2022,Dinamo Kiev,Barcelona,0,1,Barcelona
11/23/2021,2021-2022,Dinamo Kiev,Bayern,1,2,Bayern
11/23/2021,2021-2022,Barcelona,Benfica,0,0,Draw
12/8/2021,2021-2022,Bayern,Barcelona,3,0,Bayern
12/8/2021,2021-2022,Benfica,Dinamo Kiev,2,0,Benfica
9/14/2021,2021-2022,BSC Young Boys,Manchester United,2,1,BSC Young Boys
9/14/2021,2021-2022,Villarreal CF,Atalanta,2,2,Draw
9/29/2021,2021-2022,Atalanta,BSC Young Boys,1,0,Atalanta
9/29/2021,2021-2022,Manchester United,Villarreal CF,2,1,Manchester United
10/20/2021,2021-2022,Manchester United,Atalanta,3,2,Manchester United
10/20/2021,2021-2022,BSC Young Boys,Villarreal CF,1,4,Villarreal CF
11/2/2021,2021-2022,Atalanta,Manchester United,2,2,Draw
11/2/2021,2021-2022,Villarreal CF,BSC Young Boys,2,0,Villarreal CF
11/23/2021,2021-2022,Villarreal CF,Manchester United,0,2,Manchester United
