Teams,Attacks,Defense
Man City,529,284
Real Madrid,459,294
Liverpool,446,322
Chelsea,430,365
Bayern,410,351
Barcelona,398,231
Paris,392,333
Benfica,367,327
Napoli,361,344
Tottenham,349,326
Inter,340,287
Marseille,336,243
Porto,314,329
Milan,312,312
Atletico,309,236
Dortmund,302,323
Leipzig,293,317
Juventus,283,220
Leverkusen,278,266
Club Brugge,275,295
Salzburg,249,272
Ajax,247,246
Celtic,246,218
Frankfurt,243,376
M. Haifa,222,244
Sevilla,201,207
Plzen,184,223
Dinamo Zagreb,177,236
Copenhagen,170,221
Rangers,166,219
Sporting CP,158,226
Shakhtar Donetsk,133,234
